name,player style,nationality,base price (in cr),status,Team,Price in Cr
Riyan Parag,Allrounder,India,0.2,retained,Rajasthan Royals,14.0
Abhishek Sharma,Allrounder,India,0.5,retained,Sunrisers Hyderabad,14.0
Rahul Tewatia,Allrounder,India,2.0,retained,Gujarat Titans,4.0
Anuj Rawat,WK-Batter,India,1.0,remaining,,
Rahul Chahar,Bowler,India,2.0,remaining,,
Yuzvendra Chahal,Bowler,India,0.5,remaining,,
Umesh Yadav,Bowler,India,1.0,remaining,,
Mark Wood,Bowler,England,0.2,remaining,,
Jitesh Sharma,WK-Batter,India,1.5,remaining,,
Nathan Ellis,Bowler,Australia,1.5,remaining,,
Prabhsimran Singh,WK-Batter,India,1.5,retained,Punjab Kings,4.0
Ramandeep Singh,Batter,India,1.5,retained,Kolkata Knight Riders,4.0
Mustafizur Rahman,Bowler,Bangladesh,0.2,remaining,,
Suyash Prabhudessai,Batter,India,1.0,remaining,,
Tushar Deshpande,Bowler,India,1.0,remaining,,
Avesh Khan,Bowler,India,0.2,remaining,,
Ravisrinivasan Sai Kishore,Bowler,India,2.0,remaining,,
Glenn Phillips,WK-Batter,New Zealand,0.5,remaining,,
Mitchell Santner,Allrounder,New Zealand,0.5,remaining,,
Ayush Badoni,Allrounder,India,0.5,retained,Lucknow Super Giants,4.0
Rishi Dhawan,Allrounder,India,1.0,remaining,,
Tim Southee,Bowler,New Zealand,2.0,remaining,,
Jofra Archer,Bowler,England,1.0,remaining,,
Alzarri Joseph,Bowler,West Indies,2.0,remaining,,
Rovman Powell,Batter,West Indies,1.0,remaining,,
Bhanuka Rajapaksa,Batter,Sri Lanka,1.0,remaining,,
Devon Conway,Batter,New Zealand,2.0,remaining,,
Prashant Solanki,Bowler,India,1.0,remaining,,
Finn Allen,WK-Batter,New Zealand,0.2,remaining,,
Mayank Yadav,Bowler,India,1.0,retained,Lucknow Super Giants,11.0
Pradeep Sangwan,Bowler,India,1.0,remaining,,
Mohsin Khan,Bowler,India,1.0,retained,Lucknow Super Giants,4.0
Simarjeet Singh,Bowler,India,0.2,remaining,,
T Natarajan,Bowler,India,1.5,remaining,,
Kuldeep Sen,Bowler,India,1.0,remaining,,
Kartik Tyagi,Bowler,India,0.5,remaining,,
Bhuvneshwar Kumar,Bowler,India,0.2,remaining,,
Prasidh Krishna,Bowler,India,2.0,remaining,,
Noor Ahmad,Bowler,Afghanistan,2.0,remaining,,
